61481;OK;0.095
40071;Error;0.060
32543;Error;0.048
32635;OK;0.049
47885;Error;0.071
92122;OK;0.137
1675;OK;0.004
37182;OK;0.055
28554;OK;0.043
42310;Error;0.065
28248;Error;0.043
71861;Error;0.107
84531;OK;0.127
12796;Error;0.020
63350;Error;0.094
4069;OK;0.007
11273;Error;0.017
28438;OK;0.042
91900;OK;0.136
52859;OK;0.078
6400;OK;0.010
52339;Error;0.078
22776;OK;0.034
25803;Error;0.039
22794;Error;0.034
25079;Error;0.038
35699;OK;0.055
90090;Error;0.133
31496;OK;0.046
54627;Error;0.081
34958;OK;0.052
18098;OK;0.027
33168;Error;0.050
50402;OK;0.075
31739;OK;0.048
67971;Error;0.101
5744;Error;0.009
89511;OK;0.133
16699;Error;0.026
10497;Error;0.016
57708;Error;0.086
40311;Error;0.060
7174;OK;0.011
10934;OK;0.018
1382;Error;0.002
72022;OK;0.106
62840;OK;0.093
26573;Error;0.040
37378;OK;0.056
94207;Error;0.139
7406;OK;0.011
14186;Error;0.021
42685;Error;0.063
87773;Error;0.131
76796;OK;0.114
25271;Error;0.038
24102;OK;0.037
12938;OK;0.019
31380;OK;0.047
84940;OK;0.127
38336;Error;0.057
7302;Error;0.012
99761;OK;0.148
44106;OK;0.066
8249;Error;0.013
13179;Error;0.020
269;Error;0.001
6759;OK;0.011
20529;Error;0.031
4108;Error;0.006
2386;OK;0.004
61229;Error;0.092
8680;Error;0.013
79484;Error;0.118
51954;OK;0.078
21598;OK;0.032
65725;OK;0.098
35504;OK;0.054
69260;OK;0.103
91856;OK;0.136
41542;OK;0.061
38337;OK;0.057
87669;OK;0.130
24288;OK;0.037
22489;Error;0.034
57032;OK;0.084
54017;OK;0.081
31062;OK;0.047
79994;Error;0.119
84208;OK;0.125
86147;Error;0.128
59933;OK;0.089
87502;Error;0.130
4131;Error;0.006
2607;Error;0.005
41951;OK;0.064
54455;OK;0.081
32944;OK;0.049
34585;Error;0.053
87597;Error;0.130
45451;Error;0.067
4415;Error;0.009
15968;OK;0.026
14209;OK;0.021
80184;Error;0.120
10415;Error;0.016
74445;Error;0.111
17536;OK;0.027
3557;OK;0.006
49201;OK;0.074
10339;Error;0.017
36647;OK;0.055
32077;OK;0.048
99570;OK;0.148
37509;OK;0.056
24357;Error;0.037
48272;OK;0.074
3095;OK;0.005
1620;Error;0.003
18467;Error;0.033
12110;Error;0.020
73562;OK;0.110
88508;Error;0.132
14001;OK;0.021
64889;Error;0.096
50247;OK;0.075
79267;Error;0.118
83494;OK;0.124
60233;Error;0.090
71929;OK;0.107
46893;Error;0.071
45540;Error;0.068
86632;Error;0.128
37449;OK;0.056
93207;Error;0.138
19146;OK;0.029
94745;OK;0.140
28643;Error;0.042
67211;Error;0.100
94568;OK;0.141
87743;OK;0.130
18334;OK;0.027
1319;OK;0.002
50414;OK;0.074
84978;OK;0.126
46653;Error;0.069
4844;Error;0.008
54766;Error;0.083
12785;Error;0.019
68652;OK;0.102
63665;Error;0.100
33027;OK;0.051
22894;Error;0.035
35441;OK;0.053
79242;OK;0.120
13074;OK;0.020
66935;Error;0.100
30020;Error;0.045
60367;Error;0.093
39230;OK;0.058
62916;Error;0.094
89049;Error;0.132
77160;Error;0.115
64218;Error;0.095
40002;OK;0.060
19737;OK;0.030
70170;OK;0.104
9580;Error;0.015
36005;OK;0.054
589;OK;0.001
5978;OK;0.009
18651;Error;0.029
39715;OK;0.059
66558;OK;0.099
12888;Error;0.019
23239;Error;0.035
62449;OK;0.093
39458;OK;0.059
67055;OK;0.100
57911;OK;0.087
33820;OK;0.051
93564;OK;0.138
99195;OK;0.146
41336;OK;0.061
53823;OK;0.081
78711;OK;0.119
87614;OK;0.132
6208;Error;0.010
15161;Error;0.023
32290;OK;0.049
35165;OK;0.052
9009;Error;0.014
8209;Error;0.013
14054;Error;0.021
47219;OK;0.070
6056;OK;0.009
59233;OK;0.089
22764;OK;0.034
96255;OK;0.143
74300;Error;0.110
92279;Error;0.136
3462;OK;0.005
64104;Error;0.097
9775;OK;0.017
13108;Error;0.020
84851;OK;0.126
25563;OK;0.039
28043;Error;0.042
84162;Error;0.125
91057;OK;0.135
43861;OK;0.065
26924;Error;0.040
37925;Error;0.056
43894;OK;0.066
31673;Error;0.048
63700;Error;0.095
85271;Error;0.126
18428;Error;0.028
39764;OK;0.059
35322;OK;0.053
11991;Error;0.018
66721;OK;0.099
10423;OK;0.016
6998;OK;0.011
11053;OK;0.016
29556;Error;0.045
67310;Error;0.102
48415;OK;0.072
59440;Error;0.088
92305;OK;0.137
35707;OK;0.053
71209;Error;0.106
81792;Error;0.121
44272;Error;0.065
24497;OK;0.037
82845;Error;0.124
38636;Error;0.059
10565;Error;0.018
6560;Error;0.011
7464;OK;0.012
54491;OK;0.083
9452;Error;0.014
57348;Error;0.085
94391;OK;0.140
65290;OK;0.097
82777;Error;0.123
49902;OK;0.074
78394;OK;0.116
25184;OK;0.037
62097;Error;0.092
51519;Error;0.079
24620;Error;0.037
66900;Error;0.099
